"latitud","longitud","user","id","address","price","title","review","rating","sector"
"51.47569199945047","-0.18975185540488823","737373","153372","Sands End, London Borough of Hammersmith and Fulham","70","Studio L- no sharing -central-zone2","16","4.5","bajo"
"51.60161595145424","-0.07133090145653853","43487467","8246254","LB of Haringey, Londres","70","1 bedroom flat, ground floor","0","0","bajo"
"51.5521836983503","-0.11022912331833232","47762403","9224063","LB of Islington, Londres","70","Central London - Studio Appartment","1","0","bajo"
"51.54481555462655","-0.08507306394337073","4222315","8068359","De Beauvoir Town, Londres","70","Cozy 1 Bed in Islington","0","0","bajo"
"51.523999066606386","-0.1695472491412257","16103415","5141273","Lisson Grove, Londres","73","Beautiful Marylebone Flat","1","0","bajo"
"51.42954769517425","-0.13042787595931063","2411231","6697449","Lower Streatham, Londra","70","Lovely Flat in Streatham","1","0","bajo"
"51.451116004998944","-0.13507024391764694","12678519","2599253","Clapham, Londres","71","Bright studio flat in South London!","6","4.5","bajo"
"51.54033745728259","-0.24219455243897461","38540270","7355515","LB of Brent, Londres","62","Converted garage - funky studio","2","0","bajo"
"51.54010766817256","0.04106565889834224","24690979","4790304","LB of Newham, Londres","70","Comfortable 1 bed flat","5","5.0","bajo"
"51.460996231826215","-0.30023840237693317","2500124","8966896","Richmond","68","Modern Studio - Heart of Richmond","0","0","bajo"
"51.422088439897706","-0.17997497240505972","33851869","6690409","Wimbledon, Londres","61","Delightful & comfy 1 bedroom APT","1","0","bajo"
"51.510169812400655","-0.2766727606364026","4261235","810314","Acton, Londres","76","Balcony/overlooking Rugby grou wifi","0","0","bajo"
"51.601655650380266","-0.11156453530672916","39025214","7451787","LB of Haringey, Londres","74","One bedroom flat in Wood Green","3","4.5","bajo"
"51.536469302950955","-0.031928707945770914","35575402","6796691","Bow, Londres","76","1-bedroom near Victoria park","1","0","bajo"
"51.519121656862794","-0.2641166108852199","2581310","2485458","Acton, Gran Londres","76","Stylish flat in West London Zone2","1","0","bajo"
"51.58860861813","-0.16766113306930247","13276788","6382961","LB of Barnet, Londres","70","New flat","1","0","bajo"
"51.548647146895085","-0.19088912174662861","3953341","3763240","Hampstead, Londres","70","1-bed flat 10mins to central Lndn","5","4.0","bajo"
"51.60945943935885","0.005993711867039423","42570791","8059907","LB of Waltham Forest, Londres","74","Ensuite Studio- private entrance","8","5.0","bajo"
"51.400474872941274","-0.26496084497432915","28650375","9362232","RB of Kingston upon Thames, New Malden","70","One Bedroom Flat in Greater London","0","0","bajo"
"51.58366594841871","-0.06824808223019496","8018765","6319621","LB of Haringey, Londres","76","Cozy 1 bedroom split level flat","6","4.5","bajo"
"51.48170181037116","-0.06277015839658873","36701087","7000364","Peckham, Londres","62","Frank's Flat","5","4.5","bajo"
"51.63491234428371","-0.05497655673181012","44804736","8508407","LB of Enfield, Londres","71","New Modern Studio Flat in Edmonton","2","0","bajo"
"51.55563409025148","-0.09127285765035954","6404462","5954306","LB of Islington, Londres","76","Beautiful, quiet victorian apt","4","5.0","bajo"
"51.568642162760305","-0.06790899012742423","41233929","7830076","LB of Hackney, Londres","46","Cosy studio in a lively area","2","0","bajo"
"51.55553121070295","-0.21799298793378752","44242104","8468059","LB of Brent, Londres","70","A place you will really enjoy","7","1.5","bajo"
"51.58828583359363","-0.057932766197689695","13025063","3665555","LB of Haringey, Londres","55","1-bed flat Tottenham nr tube for 3+","2","0","bajo"
"51.40005504238462","-0.07060537832719198","46844397","8999645","LB of Croydon, Londres","71","Bright and spacious 1 bedroom flat","0","0","bajo"
"51.56464651330459","-0.05409775117232639","2489610","504836","LB of Hackney, Londres","55","Studio Flat muy acogedor en Londres","1","0","bajo"
"51.49829209377087","-0.06558029146512472","49780910","9623289","Bermondsey, Londres","71","Room to share in Flat","0","0","bajo"
"51.43271692387977","-0.12706511937645548","3528379","2570015","Streatham, Gran Londres","61","Entire studio Flat with Garden!","2","0","bajo"
"51.53374575325014","0.004682182215388018","1469674","523941","Stratford, Londres","70","very close 2 Olympic stadium & City","8","3.5","bajo"
"51.59801728044061","-0.33382165419260446","34642287","6924533","LB of Harrow, Harrow","70","Spencer Inn double Studio apartment","11","3.5","bajo"
"51.58832521091762","-0.16640000303216373","13276788","7831883","LB of Barnet, Londres","61","Cosy room in a  new flat","1","0","bajo"
"51.57192037712607","-0.13963941088826368","21256288","6633059","LB of Haringey, Londres","46","Small Self Contained Flat","0","0","bajo"
"51.65946940518184","-0.0844991378375977","48508127","9347033","LB of Enfield, Enfield","76","Spacious yet cosy flat","0","0","bajo"
"51.55876903067749","-0.056466398056457937","41915988","9028555","LB of Hackney, Londres","62","2 double rooms in shared gardenflat","0","0","bajo"
"51.452918842483896","-0.35253606273441346","9348137","6756226","LB of Richmond upon Thames, Twickenham","76","Close to Central London & Heathrow","13","5.0","bajo"
"51.436124531396516","-0.151390201190319","17616525","6370194","Tooting Bec, Londres","70","Lovely studio in Tooting","1","0","bajo"
"51.565284388255066","-0.13496195488702925","49202535","9493087","LB of Islington, Londres","62","Confy flat in Archway Zone 2 London","0","0","bajo"
"51.48830625377866","0.11820964180801838","48130417","9265688","RB of Greenwich, Londres","62","3 Bedroom Flat to let)","0","0","bajo"
